Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
Face-recognition-voting,Spl_project,CropppingOfImage,CropppingOfImage,3,1,0,24,0,Spl_project.CropppingOfImage,Spl_project.CropppingOfImage
Face-recognition-voting,Spl_project,CropppingOfImage,components,19,2,0,30,0,,
Face-recognition-voting,Spl_project,FaceSimillarityPercentage,percentage_checking,12,4,2,9,0,,
Face-recognition-voting,Spl_project,HistogramEqui,HistogramEqui,3,1,1,17,0,Spl_project.HistogramEqui,Spl_project.HistogramEqui
Face-recognition-voting,Spl_project,HistogramEqui,components,19,1,1,22,0,,
Face-recognition-voting,Spl_project,ImageLoad,accept,8,3,2,31,0,,
Face-recognition-voting,Spl_project,ImageLoad,accept,8,3,2,44,0,,
Face-recognition-voting,Spl_project,ImageLoad,work,64,9,0,56,0,,
Face-recognition-voting,Spl_project,ImageToPixel,get_pixel,10,2,4,21,0,,
Face-recognition-voting,Spl_project,ImageToPixel,lbp_pixel,18,2,3,30,0,Spl_project.ImageToPixel,Spl_project.ImageToPixel
Face-recognition-voting,Spl_project,ImageToPixel,convertToArrayLocation,20,4,1,55,0,,
Face-recognition-voting,Spl_project,ImageToPixel,getpixel,11,3,1,108,0,,
Face-recognition-voting,Spl_project,ImageToPixel,Image_to_pixel_method,13,3,0,131,0,Spl_project.ImageToPixel,Spl_project.ImageToPixel
Face-recognition-voting,Spl_project,WebcameCapture,web,19,2,0,23,0,,
Face-recognition-voting,Spl_project,AdminMainClass,main,20,3,1,18,0,,
Face-recognition-voting,Spl_project,AdminPanel,AdminPanel,3,1,0,48,0,Spl_project.AdminPanel,Spl_project.AdminPanel
Face-recognition-voting,Spl_project,AdminPanel,components,301,15,0,56,0,,
Face-recognition-voting,Spl_project,AdminPanel,actionPerformed,85,4,1,458,0,,
Face-recognition-voting,Spl_project,EndingPageOfVoter,EndingPageOfVoter,3,1,0,33,0,Spl_project.EndingPageOfVoter,Spl_project.EndingPageOfVoter
Face-recognition-voting,Spl_project,EndingPageOfVoter,components,63,1,0,39,0,,
Face-recognition-voting,Spl_project,EndingPageOfVoter,actionPerformed,10,1,1,139,0,,
Face-recognition-voting,Spl_project,PasswordCheck,PasswordCheck,3,1,0,42,0,Spl_project.PasswordCheck,Spl_project.PasswordCheck
Face-recognition-voting,Spl_project,PasswordCheck,components,76,3,0,48,0,,
Face-recognition-voting,Spl_project,PasswordCheck,actionPerformed,29,3,1,113,0,,
Face-recognition-voting,Spl_project,PasswordCheck,actionPerformed,9,1,1,166,0,,
Face-recognition-voting,Spl_project,ResultPanel,ResultPanel,3,1,0,43,0,Spl_project.ResultPanel,Spl_project.ResultPanel
Face-recognition-voting,Spl_project,ResultPanel,components,159,5,0,50,0,,
Face-recognition-voting,Spl_project,ResultPanel,actionPerformed,24,2,1,301,0,,
Face-recognition-voting,Spl_project,StartingPageOfVoter,StartingPageOfVoter,3,1,0,38,0,Spl_project.StartingPageOfVoter,Spl_project.StartingPageOfVoter
Face-recognition-voting,Spl_project,StartingPageOfVoter,components,63,1,0,45,0,,
Face-recognition-voting,Spl_project,StartingPageOfVoter,actionPerformed,10,1,1,145,0,,
Face-recognition-voting,Spl_project,UserMainClass,main,8,1,1,15,0,,
Face-recognition-voting,Spl_project,UserPanel,UserPanel,3,1,0,34,0,Spl_project.UserPanel,Spl_project.UserPanel
Face-recognition-voting,Spl_project,UserPanel,components,92,4,0,41,0,,
Face-recognition-voting,Spl_project,UserPanel,actionPerformed,33,4,1,159,0,,
Face-recognition-voting,Spl_project,VoterPanel,VoterPanel,3,1,0,35,0,Spl_project.VoterPanel,Spl_project.VoterPanel
Face-recognition-voting,Spl_project,VoterPanel,components,153,1,0,40,0,,
Face-recognition-voting,Spl_project,VoterPanel,actionPerformed,14,1,1,238,0,,
Face-recognition-voting,Spl_project,VoterPanel,actionPerformed,14,1,1,268,0,,
Face-recognition-voting,Spl_project,VoterPanel,actionPerformed,14,1,1,292,0,,
Face-recognition-voting,Spl_project,VoterPanel,actionPerformed,9,1,1,316,0,,
Face-recognition-voting,Spl_project,WelcomePage,WelcomePage,3,1,0,32,0,Spl_project.WelcomePage,Spl_project.WelcomePage
Face-recognition-voting,Spl_project,WelcomePage,components,23,1,0,39,0,,
